ID,Borough,Price,M2
1,Benito Juárez,45000,180
2,Benito Juárez,12500,32
3,Benito Juárez,30000,70
4,Benito Juárez,45000,180
5,Benito Juárez,85000,240
6,Benito Juárez,45000,180
7,Benito Juárez,85000,102
8,Benito Juárez,150000,350
9,Benito Juárez,14500,196
10,Benito Juárez,13300,60
11,Benito Juárez,25900,50
12,Benito Juárez,20000,6
13,Benito Juárez,68000,115
14,Benito Juárez,21000,103
15,Benito Juárez,32550,93
16,Benito Juárez,38000,80
17,Benito Juárez,125000,230
18,Benito Juárez,100000,525
19,Benito Juárez,67000,115
20,Benito Juárez,22500,85
21,Benito Juárez,25900,50
22,Benito Juárez,12000,25
23,Benito Juárez,190000,700
24,Benito Juárez,40000,61
25,Benito Juárez,19000,103
26,Benito Juárez,40000,63
27,Benito Juárez,44000,79
28,Benito Juárez,68000,150
29,Benito Juárez,32500,65
30,Benito Juárez,35000,68
31,Benito Juárez,138000,430
32,Benito Juárez,95000,215
33,Benito Juárez,79000,140
34,Benito Juárez,22800,73
35,Benito Juárez,86000,152
36,Benito Juárez,48869,175
37,Benito Juárez,30000,24
38,Benito Juárez,40000,106
39,Benito Juárez,32500,65
40,Benito Juárez,312500,1275
41,Benito Juárez,76154,150
42,Benito Juárez,133200,148
43,Benito Juárez,150000,346
44,Benito Juárez,205000,221
45,Benito Juárez,13500,15
46,Benito Juárez,29000,115
47,Benito Juárez,38500,63
48,Benito Juárez,69000,76
49,Benito Juárez,47000,370
50,Benito Juárez,160000,170
51,Álvaro Obregón,120000,240
52,Álvaro Obregón,70000,546
53,Álvaro Obregón,12000,50
54,Álvaro Obregón,130000,160
55,Álvaro Obregón,22000,18
56,Álvaro Obregón,200000,320
57,Álvaro Obregón,80000,450
58,Álvaro Obregón,130000,200
59,Álvaro Obregón,80000,400
60,Álvaro Obregón,27800,1500
61,Álvaro Obregón,63200,127
62,Álvaro Obregón,76800,400
63,Álvaro Obregón,27900,85
64,Álvaro Obregón,17500,70
65,Álvaro Obregón,55000,75
66,Álvaro Obregón,38000,150
67,Álvaro Obregón,35000,107
68,Álvaro Obregón,90000,192
69,Álvaro Obregón,227211,344
70,Álvaro Obregón,500000,1112
71,Álvaro Obregón,44000,96
72,Álvaro Obregón,132500,265
73,Álvaro Obregón,40000,175
74,Álvaro Obregón,40000,60
75,Álvaro Obregón,70000,380
76,Álvaro Obregón,30000,75
77,Álvaro Obregón,185000,457
78,Álvaro Obregón,6500,17
79,Álvaro Obregón,310000,620
80,Álvaro Obregón,142500,228
